λ (nm),α (cm^-1)
205.64,22559.932273048787
205.7,22522.03525131513
205.76,22484.138229581473
205.82,22446.241207847812
205.88,22408.34418611415
205.94,22370.44716438049
206.0,22332.550142646833
206.06,22318.422360780845
206.12,22304.294578914854
206.18,22290.16679704887
206.24,22276.039015182883
206.3,22261.911233316896
206.36,22247.783451450905
206.42,22233.65566958493
206.48,22219.527887718938
206.54,22205.400105852954
206.6,22191.272323986967
206.66,22177.14454212098
206.72,22163.01676025499
206.78,22148.888978389004
206.84,22134.761196523017
206.9,22120.63341465703
206.96,22106.505632791042
207.02,22095.334268606388
207.08,22090.075739784406
207.14,22084.81721096242
207.2,22079.558682140432
207.26,22074.30015331845
207.32,22069.04162449646
207.38,22063.783095674476
207.44,22058.52456685249
207.5,22053.266038030506
207.56,22048.00750920852
207.62,22042.748980386536
207.68,22037.49045156455
207.74,22032.23192274256
207.8,22026.97339392058
207.86,22021.71486509859
207.92,22016.456336276606
207.98,22011.197807454624
208.04,22005.917469854518
208.1,22000.626227865352
208.16,21995.334985876187
208.22,21990.043743887025
208.28,21984.75250189786
208.34,21979.461259908694
208.4,21974.17001791953
208.46,21968.878775930367
208.52,21963.587533941205
208.58,21958.296291952036
208.64,21953.005049962878
208.7,21947.71380797371
208.76,21942.422565984547
208.82,21937.13132399538
208.88,21931.84008200622
208.94,21926.54884001705
209.0,21921.25759802789
209.06,21911.324929376653
209.12,21901.39226072541
209.18,21891.459592074174
209.24,21881.526923422934
209.3,21871.5942547717
209.36,21861.661586120455
209.42,21851.728917469223
209.48,21841.796248817987
209.54,21831.863580166748
209.6,21821.93091151551
209.66,21811.99824286427
209.72,21802.065574213033
209.78,21792.132905561797
209.84,21782.200236910554
209.9,21772.267568259318
209.96,21762.33489960808
210.02,21750.640484538242
210.08,21735.42257663121
210.14,21720.204668724185
210.2,21704.986760817155
210.26,21689.768852910125
210.32,21674.550945003095
210.38,21659.33303709606
210.44,21644.115129189035
210.5,21628.897221282
210.56,21613.679313374967
210.62,21598.461405467937
210.68,21583.243497560907
210.74,21568.025589653877
210.8,21552.807681746843
210.86,21537.589773839816
210.92,21522.37186593279
210.98,21507.153958025756
211.04,21490.305981176803
211.1,21472.642969856894
211.16,21454.979958536976
211.22,21437.316947217067
211.28,21419.653935897157
211.34,21401.99092457724
211.4,21384.32791325733
211.46,21366.664901937413
211.52,21349.001890617503
211.58,21331.338879297586
211.64,21313.675867977683
211.7,21296.012856657766
211.76,21278.349845337856
211.82,21260.68683401794
211.88,21243.02382269803
211.94,21225.360811378112
212.0,21207.697800058202
212.06,21191.932029017797
212.12,21176.166257977387
212.18,21160.400486936986
212.24,21144.63471589658
212.3,21128.868944856174
212.36,21113.103173815765
212.42,21097.33740277537
212.48,21081.57163173496
212.54,21065.80586069456
212.6,21050.040089654154
212.66,21034.274318613745
212.72,21018.50854757334
212.78,21002.742776532938
212.84,20986.977005492532
212.9,20971.211234452123
212.96,20955.44546341172
213.02,20941.37695765108
213.08,20930.70298244996
213.14,20920.029007248842
213.2,20909.355032047726
213.26,20898.681056846606
213.32,20888.007081645486
213.38,20877.33310644437
213.44,20866.65913124325
213.5,20855.98515604213
213.56,20845.311180841007
213.62,20834.63720563989
213.68,20823.96323043877
213.74,20813.28925523765
213.8,20802.615280036534
213.86,20791.941304835414
213.92,20781.2673296343
213.98,20770.593354433182
214.04,20763.472238738254
214.1,20758.127552796428
214.16,20752.7828668546
214.22,20747.43818091277
214.28,20742.09349497094
214.34,20736.74880902911
214.4,20731.404123087283
214.46,20726.059437145457
214.52,20720.714751203628
214.58,20715.3700652618
214.64,20710.025379319974
214.7,20704.680693378144
214.76,20699.336007436315
214.82,20693.991321494486
214.88,20688.64663555266
214.94,20683.30194961083
215.0,20677.957263669003
215.06,20674.988984152762
215.12,20672.02070463652
215.18,20669.05242512028
215.24,20666.08414560404
215.3,20663.115866087803
215.36,20660.14758657156
215.42,20657.17930705532
215.48,20654.211027539084
215.54,20651.24274802284
215.6,20648.274468506603
215.66,20645.306188990362
215.72,20642.33790947412
215.78,20639.369629957884
215.84,20636.40135044164
