λ (nm),α (cm^-1)
209.84,14215.521644362736
209.9,14176.176467786663
209.96,14136.831291210594
210.02,14099.429787754427
210.08,14065.915630538066
210.14,14032.40147332172
210.2,13998.887316105358
210.26,13965.373158888997
210.32,13931.859001672636
210.38,13898.344844456275
210.44,13864.830687239913
210.5,13831.31653002355
210.56,13797.80237280719
210.62,13764.288215590828
210.68,13730.774058374467
210.74,13697.259901158106
210.8,13663.745743941745
210.86,13630.231586725384
210.92,13596.717429509037
210.98,13563.203272292676
211.04,13531.757125416683
211.1,13501.344983710876
211.16,13470.93284200507
211.22,13440.520700299265
211.28,13410.108558593458
211.34,13379.696416887651
211.4,13349.284275181843
211.46,13318.872133476036
211.52,13288.459991770229
211.58,13258.047850064424
211.64,13227.635708358632
211.7,13197.223566652825
211.76,13166.811424947016
211.82,13136.39928324121
211.88,13105.987141535405
211.94,13075.574999829598
212.0,13045.162858123791
212.06,13017.729288226565
212.12,12990.295718329338
212.18,12962.862148432112
212.24,12935.428578534886
212.3,12907.99500863766
212.36,12880.561438740431
212.42,12853.12786884322
212.48,12825.694298945991
212.54,12798.260729048763
212.6,12770.827159151537
212.66,12743.39358925431
212.72,12715.960019357084
212.78,12688.526449459858
212.84,12661.092879562631
212.9,12633.659309665405
212.96,12606.225739768177
213.02,12580.308521609526
213.08,12557.424006928015
213.14,12534.539492246517
213.2,12511.654977565006
213.26,12488.770462883496
213.32,12465.885948201985
213.38,12443.001433520478
213.44,12420.116918838967
213.5,12397.232404157457
213.56,12374.347889475948
213.62,12351.463374794439
213.68,12328.57886011293
213.74,12305.694345431419
213.8,12282.80983074991
213.86,12259.925316068398
213.92,12237.040801386902
213.98,12214.15628670539
214.04,12195.246952958903
214.1,12178.325209679928
214.16,12161.403466400952
214.22,12144.481723121979
214.28,12127.559979843003
214.34,12110.638236564027
214.4,12093.716493285052
214.46,12076.794750006076
214.52,12059.873006727103
214.58,12042.951263448127
214.64,12026.029520169159
214.7,12009.107776890183
214.76,11992.186033611208
214.82,11975.264290332232
214.88,11958.342547053258
214.94,11941.420803774283
215.0,11924.499060495307
215.06,11913.425219258159
215.12,11902.35137802101
215.18,11891.277536783866
215.24,11880.203695546717
215.3,11869.129854309569
215.36,11858.05601307242
215.42,11846.98217183528
215.48,11835.908330598131
215.54,11824.834489360985
215.6,11813.760648123836
215.66,11802.686806886688
215.72,11791.61296564954
215.78,11780.539124412395
215.84,11769.465283175246
215.9,11758.391441938098
215.96,11747.31760070095
216.02,11737.535708011275
216.07999999999998,11730.337712416545
216.14,11723.139716821812
216.2,11715.94172122708
216.26,11708.743725632346
216.32,11701.545730037615
216.38,11694.347734442883
216.44,11687.14973884815
216.5,11679.951743253418
216.56,11672.753747658684
216.62,11665.555752063952
216.68,11658.357756469219
216.74,11651.159760874487
216.8,11643.961765279755
216.86,11636.763769685022
216.92,11629.565774090292
216.98,11622.36777849556
217.04,11615.292451277546
217.1,11608.278458247894
217.16,11601.26446521824
217.22,11594.250472188587
217.28,11587.236479158933
217.34,11580.222486129283
217.4,11573.20849309963
217.46,11566.194500069976
217.52,11559.180507040322
217.57999999999998,11552.166514010674
217.64,11545.15252098102
217.7,11538.138527951369
217.76,11531.124534921715
217.82,11524.110541892062
217.88,11517.096548862408
217.94,11510.082555832758
218.0,11503.068562803104
218.06,11491.02395350788
218.12,11478.979344212656
218.18,11466.934734917433
218.24,11454.890125622207
218.3,11442.845516326985
218.36,11430.80090703176
218.42,11418.756297736541
218.48,11406.711688441319
218.54,11394.667079146095
218.6,11382.62246985087
218.66,11370.577860555648
218.72,11358.533251260422
218.78,11346.4886419652
218.84,11334.444032669975
218.9,11322.39942337475
218.96,11310.354814079526
219.02,11294.683741518911
219.07999999999998,11271.759742427523
219.14,11248.835743336125
219.2,11225.911744244728
219.26,11202.98774515333
219.32,11180.063746061931
219.38,11157.139746970533
219.44,11134.215747879136
219.5,11111.291748787735
219.56,11088.367749696337
219.62,11065.44375060494
219.68,11042.519751513542
219.74,11019.595752422143
219.8,10996.671753330746
219.86,10973.747754239348
219.92,10950.823755147961
219.98,10927.899756056562
220.04,10895.124345984015
220.1,10857.423230420885
220.16,10819.722114857757
220.22,10782.020999294631
220.28,10744.319883731501
220.34,10706.618768168373
220.4,10668.917652605245
220.46,10631.216537042117
220.52,10593.515421478989
220.57999999999998,10555.81430591588
220.64,10518.113190352751
220.7,10480.412074789623
220.76,10442.710959226495
220.82,10405.009843663367
220.88,10367.308728100239
220.94,10329.60761253711
221.0,10291.906496973983
221.06,10241.974019269443
221.12,10192.041541564904
221.18,10142.109063860365
221.24,10092.176586155827
221.3,10042.244108451287
221.36,9992.311630746748
221.42,9942.379153042233
221.48,9892.446675337695
221.54,9842.514197633154
221.6,9792.581719928616
221.66,9742.649242224077
221.72,9692.716764519539
221.78,9642.784286815
221.84,9592.85180911046
221.9,9542.919331405923
221.96,9492.986853701384
222.02,9443.639863752416
222.07999999999998,9395.463849314616
222.14,9347.287834876792
222.2,9299.111820438968
222.26,9250.935806001145
222.32,9202.759791563321
222.38,9154.583777125497
222.44,9106.407762687675
222.5,9058.231748249851
222.56,9010.055733812027
222.62,8961.879719374205
222.68,8913.70370493638
222.74,8865.527690498557
222.8,8817.351676060734
222.86,8769.175661622909
222.92,8720.999647185108
222.98,8672.823632747286
223.04,8644.343676965982
223.1,8625.711750512944
223.16,8607.079824059907
223.22,8588.44789760687
223.28,8569.815971153832
223.34,8551.184044700794
223.4,8532.552118247757
223.46,8513.92019179472
223.52,8495.288265341682
223.57999999999998,8476.656338888653
223.64,8458.024412435616
223.7,8439.392485982578
223.76,8420.76055952954
223.82,8402.128633076503
223.88,8383.496706623468
223.94,8364.86478017043
224.0,8346.232853717393
224.06,8394.648329200521
224.12,8443.063804683652
224.18,8491.47928016678
224.24,8539.894755649912
224.3,8588.310231133042
224.36,8636.725706616171
224.42,8685.141182099278
224.48,8733.556657582409
224.54,8781.972133065537
224.6,8830.387608548668
224.66,8878.803084031797
224.72,8927.218559514928
224.78,8975.634034998056
224.84,9024.049510481187
224.9,9072.464985964316
224.96,9120.880461447447
225.02,9203.031952354559
225.07999999999998,9352.655474109515
225.14,9502.278995864543
225.2,9651.90251761957
225.26,9801.5260393746
225.32,9951.149561129625
225.38,10100.773082884654
225.44,10250.396604639682
225.5,10400.02012639471
225.56,10549.643648149737
225.62,10699.267169904764
225.68,10848.890691659793
225.74,10998.514213414821
225.8,11148.137735169848
225.86,11297.761256924876
225.92,11447.384778679832
225.98,11597.00830043486
226.04,11820.245881265591
226.1,12080.290491634201
226.16,12340.33510200281
226.22,12600.379712371418
226.28,12860.424322740024
226.34,13120.468933108634
226.4,13380.513543477242
226.46,13640.55815384585
226.52,13900.602764214458
226.57999999999998,14160.647374582944
226.64,14420.691984951553
226.7,14680.73659532016
226.76,14940.781205688769
226.82,15200.825816057379
226.88,15460.870426425987
226.94,15720.915036794595
227.0,15980.959647163205
227.06,16310.311719245059
227.12,16639.663791326915
227.18,16969.015863408767
227.24,17298.367935490623
227.3,17627.72000757248
227.36,17957.072079654336
227.42,18286.42415173603
227.48,18615.776223817888
227.54,18945.128295899744
227.6,19274.4803679816
227.66,19603.832440063452
227.72,19933.184512145304
227.78,20262.53658422716
227.84,20591.888656309016
227.9,20921.240728390872
227.96,21250.592800472725
228.02,21566.322093405823
228.07999999999998,21854.80582804127
228.14,22143.28956267686
228.2,22431.773297312448
228.26,22720.257031948036
228.32,23008.740766583625
228.38,23297.224501219214
228.44,23585.7082358548
228.5,23874.191970490385
228.56,24162.675705125974
228.62,24451.159439761563
228.68,24739.64317439715
228.74,25028.12690903274
228.8,25316.61064366833
