λ (nm),α (cm^-1)
210.5,39931.75840737462
210.56,39957.66238940343
210.62,39983.56637143224
210.68,40009.470353461045
210.74,40035.374335489854
210.8,40061.27831751867
210.86,40087.18229954748
210.92,40113.086281576274
210.98,40138.99026360508
211.04,40172.10987217034
211.1,40208.83729400384
211.16,40245.56471583733
211.22,40282.292137670825
211.28,40319.01955950432
211.34,40355.74698133782
211.4,40392.47440317131
211.46,40429.2018250048
211.52,40465.92924683829
211.58,40502.656668671785
211.64,40539.38409050527
211.7,40576.111512338764
211.76,40612.83893417225
211.82,40649.566356005744
211.88,40686.293777839244
211.94,40723.02119967274
212.0,40759.74862150623
212.06,40801.04685413724
212.12,40842.345086768255
212.18,40883.64331939926
212.24,40924.94155203028
212.3,40966.23978466129
212.36,41007.538017292296
212.42,41048.83624992329
212.48,41090.1344825543
212.54,41131.432715185314
212.6,41172.73094781632
212.66,41214.02918044734
212.72,41255.32741307835
212.78,41296.625645709355
212.84,41337.92387834036
212.9,41379.22211097138
212.96,41420.52034360239
213.02,41462.96058625423
213.08,41507.68484894773
213.14,41552.4091116412
213.2,41597.13337433469
213.26,41641.85763702819
213.32,41686.581899721685
213.38,41731.306162415174
213.44,41776.03042510867
213.5,41820.75468780217
213.56,41865.478950495664
213.62,41910.20321318916
213.68,41954.92747588265
213.74,41999.65173857615
213.8,42044.376001269644
213.86,42089.10026396313
213.92,42133.82452665661
213.98,42178.548789350105
214.04,42227.32175783642
214.1,42278.11907921914
214.16,42328.91640060186
214.22,42379.71372198459
214.28,42430.5110433673
214.34,42481.30836475003
214.4,42532.105686132745
214.46,42582.90300751547
214.52,42633.700328898194
214.58,42684.497650280915
214.64,42735.29497166362
214.7,42786.092293046335
214.76,42836.88961442906
214.82,42887.68693581178
214.88,42938.484257194505
214.94,42989.28157857722
215.0,43040.078899959946
215.06,43100.151681187686
215.12,43160.22446241542
215.18,43220.29724364315
215.24,43280.370024870885
215.3,43340.442806098625
215.36,43400.51558732636
215.42,43460.58836855406
215.48,43520.661149781794
215.54,43580.733931009534
215.6,43640.80671223727
215.66,43700.87949346501
215.72,43760.95227469274
215.78,43821.02505592047
215.84,43881.097837148205
215.9,43941.170618375945
215.96,44001.24339960368
216.02,44064.79872230141
216.07999999999998,44135.31912793908
216.14,44205.839533576785
216.2,44276.35993921449
216.26,44346.880344852194
216.32,44417.4007504899
216.38,44487.92115612761
216.44,44558.441561765314
216.5,44628.96196740302
216.56,44699.48237304073
216.62,44770.002778678434
216.68,44840.52318431614
216.74,44911.04358995385
216.8,44981.563995591554
216.86,45052.08440122925
216.92,45122.604806866926
216.98,45193.12521250463
217.04,45270.01408602647
217.1,45350.08719349038
217.16,45430.16030095428
217.22,45510.233408418186
217.28,45590.3065158821
217.34,45670.379623346
217.4,45750.452730809906
217.46,45830.52583827381
217.52,45910.59894573772
217.57999999999998,45990.67205320158
217.64,46070.7451606655
217.7,46150.818268129406
217.76,46230.8913755933
217.82,46310.96448305721
217.88,46391.037590521126
217.94,46471.11069798503
218.0,46551.183805448934
218.06,46639.421613856444
218.12,46727.659422263954
218.18,46815.89723067147
218.24,46904.13503907898
218.3,46992.37284748649
218.36,47080.61065589401
218.42,47168.848464301474
218.48,47257.086272708984
218.54,47345.3240811165
218.6,47433.56188952401
218.66,47521.79969793153
218.72,47610.03750633904
218.78,47698.27531474654
218.84,47786.51312315405
218.9,47874.75093156157
218.96,47962.98873996908
219.02,48053.65057107526
219.07999999999998,48149.16044757872
219.14,48244.67032408222
219.2,48340.18020058572
219.26,48435.69007708922
219.32,48531.19995359272
219.38,48626.70983009622
219.44,48722.21970659972
219.5,48817.72958310321
219.56,48913.239459606724
219.62,49008.74933611021
219.68,49104.25921261372
219.74,49199.76908911722
219.8,49295.278965620724
219.86,49390.78884212422
219.92,49486.29871862767
219.98,49581.80859513117
220.04,49681.8072096392
220.1,49784.05019314947
220.16,49886.293176659754
220.22,49988.536160170035
220.28,50090.77914368031
220.34,50193.02212719059
220.4,50295.265110700864
220.46,50397.50809421115
220.52,50499.75107772143
220.57999999999998,50601.99406123166
220.64,50704.23704474194
220.7,50806.48002825222
220.76,50908.72301176249
220.82,51010.96599527278
220.88,51113.208978783055
220.94,51215.45196229334
221.0,51317.69494580362
221.06,51426.786857621955
221.12,51535.8787694403
221.18,51644.97068125865
221.24,51754.06259307699
221.3,51863.154504895334
221.36,51972.24641671367
221.42,52081.33832853197
221.48,52190.43024035032
221.54,52299.522152168654
221.6,52408.614063987
