wl,k
7.71,0.749437
7.72,0.762649
7.73,0.775837
7.74,0.788994
7.75,0.802113
7.76,0.815186
7.77,0.828208
7.78,0.841175
7.79,0.854081
7.8,0.866923
7.81,0.879697
7.82,0.892401
7.83,0.905033
7.84,0.917591
7.85,0.930072
7.86,0.942477
7.87,0.954804
7.88,0.967052
7.89,0.979221
7.9,0.991311
7.91,1.003322
7.92,1.015254
7.93,1.027107
7.94,1.038881
7.95,1.050578
7.96,1.062198
7.97,1.073741
7.98,1.085209
7.99,1.096601
8,1.107919
8.01,1.119164
8.02,1.130337
8.03,1.141438
8.04,1.152468
8.05,1.163429
8.06,1.174322
8.07,1.185147
8.08,1.195906
8.09,1.206599
8.1,1.217227
8.11,1.227792
8.12,1.238294
8.13,1.248735
8.14,1.259115
8.15,1.269435
8.16,1.279696
8.17,1.2899
8.18,1.300047
8.19,1.310138
8.2,1.320173
8.21,1.330155
8.22,1.340083
8.23,1.349958
8.24,1.359782
8.25,1.369555
8.26,1.379277
8.27,1.388951
8.28,1.398576
8.29,1.408153
8.3,1.417683
8.31,1.427167
8.32,1.436605
8.33,1.445998
8.34,1.455348
8.35,1.464653
8.36,1.473916
8.37,1.483137
8.38,1.492316
8.39,1.501454
8.4,1.510552
8.41,1.51961
8.42,1.528628
8.43,1.537609
8.44,1.546551
8.45,1.555455
8.46,1.564323
8.47,1.573154
8.48,1.58195
8.49,1.59071
8.5,1.599435
8.51,1.608126
8.52,1.616783
8.53,1.625406
8.54,1.633996
8.55,1.642554
8.56,1.65108
8.57,1.659574
8.58,1.668036
8.59,1.676468
8.6,1.68487
8.61,1.693241
8.62,1.701583
8.63,1.709895
8.64,1.718179
8.65,1.726434
8.66,1.734661
8.67,1.74286
8.68,1.751032
8.69,1.759176
8.7,1.767294
8.71,1.775385
8.72,1.783451
8.73,1.79149
8.74,1.799504
8.75,1.807493
8.76,1.815457
8.77,1.823397
8.78,1.831312
8.79,1.839203
8.8,1.84707
8.81,1.854914
8.82,1.862735
8.83,1.870533
8.84,1.878309
8.85,1.886061
8.86,1.893792
8.87,1.901501
8.88,1.909189
8.89,1.916855
8.9,1.924499
8.91,1.932123
8.92,1.939726
8.93,1.947309
8.94,1.954872
8.95,1.962414
8.96,1.969937
8.97,1.97744
8.98,1.984924
8.99,1.992388
9,1.999833
9.01,2.00726
9.02,2.014668
9.03,2.022058
9.04,2.02943
9.05,2.036783
9.06,2.044119
9.07,2.051437
9.08,2.058737
9.09,2.06602
9.1,2.073286
9.11,2.080535
9.12,2.087768
9.13,2.094983
9.14,2.102182
9.15,2.109365
9.16,2.116532
9.17,2.123683
9.18,2.130817
9.19,2.137937
9.2,2.14504
9.21,2.152128
9.22,2.159201
9.23,2.166259
9.24,2.173302
9.25,2.18033
9.26,2.187343
9.27,2.194342
9.28,2.201326
9.29,2.208296
9.3,2.215252
9.31,2.222193
9.32,2.229121
9.33,2.236035
9.34,2.242935
9.35,2.249822
9.36,2.256696
9.37,2.263556
9.38,2.270402
9.39,2.277236
9.4,2.284057
9.41,2.290865
9.42,2.29766
9.43,2.304442
9.44,2.311212
9.45,2.317969
9.46,2.324715
9.47,2.331447
9.48,2.338168
9.49,2.344877
9.5,2.351574
9.51,2.358259
9.52,2.364932
9.53,2.371593
9.54,2.378243
9.55,2.384882
9.56,2.391509
9.57,2.398125
9.58,2.40473
9.59,2.411324
9.6,2.417906
9.61,2.424478
9.62,2.431039
9.63,2.437589
9.64,2.444129
9.65,2.450658
9.66,2.457176
9.67,2.463684
9.68,2.470182
9.69,2.476669
9.7,2.483147
9.71,2.489614
9.72,2.496071
9.73,2.502518
9.74,2.508955
9.75,2.515383
9.76,2.5218
9.77,2.528209
9.78,2.534607
9.79,2.540996
9.8,2.547376
9.81,2.553746
9.82,2.560106
9.83,2.566458
9.84,2.5728
9.85,2.579134
9.86,2.585458
9.87,2.591773
9.88,2.59808
9.89,2.604377
9.9,2.610666
9.91,2.616946
9.92,2.623217
9.93,2.629479
9.94,2.635734
9.95,2.641979
9.96,2.648216
9.97,2.654445
9.98,2.660666
9.99,2.666878
10,2.673082
10.01,2.679278
10.02,2.685465
10.03,2.691645
10.04,2.697817
10.05,2.703981
10.06,2.710136
10.07,2.716285
10.08,2.722425
10.09,2.728557
10.1,2.734682
10.11,2.7408
10.12,2.746909
10.13,2.753011
10.14,2.759106
10.15,2.765193
10.16,2.771273
10.17,2.777346
10.18,2.783411
10.19,2.789469
10.2,2.79552
10.21,2.801563
10.22,2.8076
10.23,2.813629
10.24,2.819652
10.25,2.825667
10.26,2.831676
10.27,2.837677
10.28,2.843672
10.29,2.84966
10.3,2.855642
10.31,2.861616
10.32,2.867584
10.33,2.873545
10.34,2.8795
10.35,2.885448
10.36,2.89139
10.37,2.897325
10.38,2.903253
10.39,2.909176
10.4,2.915091
10.41,2.921001
10.42,2.926904
10.43,2.932801
10.44,2.938692
10.45,2.944577
10.46,2.950455
10.47,2.956328
10.48,2.962194
10.49,2.968054
10.5,2.973909
10.51,2.979757
10.52,2.985599
10.53,2.991436
10.54,2.997266
10.55,3.003091
10.56,3.00891
10.57,3.014724
10.58,3.020531
10.59,3.026333
10.6,3.032129
10.61,3.03792
10.62,3.043704
10.63,3.049484
10.64,3.055258
10.65,3.061026
10.66,3.066789
10.67,3.072546
10.68,3.078298
10.69,3.084045
10.7,3.089786
10.71,3.095522
10.72,3.101252
10.73,3.106978
10.74,3.112698
10.75,3.118413
10.76,3.124122
10.77,3.129827
10.78,3.135526
10.79,3.14122
10.8,3.14691
10.81,3.152594
10.82,3.158273
10.83,3.163947
10.84,3.169616
10.85,3.17528
10.86,3.18094
10.87,3.186594
10.88,3.192244
10.89,3.197888
10.9,3.203528
10.91,3.209163
10.92,3.214793
10.93,3.220419
10.94,3.22604
10.95,3.231656
10.96,3.237267
10.97,3.242874
10.98,3.248477
10.99,3.254074
11,3.259667
11.01,3.265256
11.02,3.27084
11.03,3.276419
11.04,3.281994
11.05,3.287564
11.06,3.293131
11.07,3.298692
11.08,3.304249
11.09,3.309802
11.1,3.315351
11.11,3.320895
11.12,3.326435
11.13,3.33197
11.14,3.337502
11.15,3.343029
11.16,3.348552
11.17,3.35407
11.18,3.359585
11.19,3.365095
11.2,3.370601
11.21,3.376103
11.22,3.381601
11.23,3.387095
11.24,3.392585
11.25,3.39807
11.26,3.403552
11.27,3.40903
11.28,3.414503
11.29,3.419973
11.3,3.425439
11.31,3.4309
11.32,3.436358
11.33,3.441812
11.34,3.447263
11.35,3.452709
11.36,3.458151
11.37,3.46359
11.38,3.469025
11.39,3.474456
11.4,3.479883
11.41,3.485306
11.42,3.490726
11.43,3.496142
11.44,3.501554
11.45,3.506963
11.46,3.512368
11.47,3.517769
11.48,3.523167
11.49,3.528561
11.5,3.533951
11.51,3.539338
11.52,3.544721
11.53,3.550101
11.54,3.555477
11.55,3.56085
11.56,3.566219
11.57,3.571584
11.58,3.576947
11.59,3.582305
11.6,3.587661
11.61,3.593012
11.62,3.598361
11.63,3.603706
11.64,3.609047
11.65,3.614386
11.66,3.61972
11.67,3.625052
11.68,3.63038
11.69,3.635705
11.7,3.641027
11.71,3.646345
11.72,3.65166
11.73,3.656972
11.74,3.66228
11.75,3.667585
11.76,3.672887
11.77,3.678186
11.78,3.683482
11.79,3.688774
11.8,3.694064
11.81,3.69935
11.82,3.704633
11.83,3.709913
11.84,3.71519
11.85,3.720463
11.86,3.725734
11.87,3.731002
11.88,3.736266
11.89,3.741528
11.9,3.746786
11.91,3.752041
11.92,3.757294
11.93,3.762543
11.94,3.76779
11.95,3.773033
11.96,3.778274
11.97,3.783511
11.98,3.788746
11.99,3.793977
12,3.799206
12.01,3.804432
12.02,3.809655
12.03,3.814875
12.04,3.820092
12.05,3.825307
12.06,3.830518
12.07,3.835727
12.08,3.840933
12.09,3.846136
12.1,3.851336
12.11,3.856534
12.12,3.861728
12.13,3.86692
12.14,3.87211
12.15,3.877296
12.16,3.88248
12.17,3.887661
12.18,3.892839
12.19,3.898015
12.2,3.903188
12.21,3.908358
12.22,3.913526
12.23,3.91869
12.24,3.923853
12.25,3.929012
12.26,3.934169
12.27,3.939324
12.28,3.944476
12.29,3.949625
12.3,3.954771
12.31,3.959915
12.32,3.965057
12.33,3.970196
12.34,3.975332
12.35,3.980466
12.36,3.985597
12.37,3.990726
12.38,3.995852
12.39,4.000976
12.4,4.006097
12.41,4.011216
12.42,4.016333
12.43,4.021446
12.44,4.026558
12.45,4.031667
12.46,4.036773
12.47,4.041877
12.48,4.046979
12.49,4.052078
12.5,4.057175
12.51,4.06227
12.52,4.067362
12.53,4.072452
12.54,4.077539
12.55,4.082624
12.56,4.087707
12.57,4.092787
12.58,4.097865
12.59,4.102941
12.6,4.108014
12.61,4.113085
12.62,4.118154
12.63,4.123221
12.64,4.128285
12.65,4.133347
12.66,4.138407
12.67,4.143464
12.68,4.148519
12.69,4.153572
12.7,4.158623
12.71,4.163672
12.72,4.168718
12.73,4.173762
12.74,4.178804
12.75,4.183844
12.76,4.188881
12.77,4.193916
12.78,4.19895
12.79,4.203981
12.8,4.20901
12.81,4.214036
12.82,4.219061
12.83,4.224083
12.84,4.229104
12.85,4.234122
12.86,4.239138
12.87,4.244152
12.88,4.249164
12.89,4.254174
12.9,4.259182
12.91,4.264187
12.92,4.269191
12.93,4.274192
12.94,4.279192
12.95,4.284189
12.96,4.289185
12.97,4.294178
12.98,4.29917
12.99,4.304159
13,4.309147
13.01,4.314132
13.02,4.319115
13.03,4.324097
13.04,4.329076
13.05,4.334054
13.06,4.339029
13.07,4.344003
13.08,4.348974
13.09,4.353944
13.1,4.358911
13.11,4.363877
13.12,4.368841
13.13,4.373803
13.14,4.378763
13.15,4.383721
13.16,4.388677
13.17,4.393631
13.18,4.398584
13.19,4.403534
13.2,4.408483
13.21,4.41343
13.22,4.418375
13.23,4.423318
13.24,4.428259
13.25,4.433198
13.26,4.438136
13.27,4.443071
13.28,4.448005
13.29,4.452937
13.3,4.457867
13.31,4.462796
13.32,4.467722
13.33,4.472647
13.34,4.47757
13.35,4.482491
13.36,4.487411
13.37,4.492328
13.38,4.497244
13.39,4.502158
13.4,4.507071
13.41,4.511981
13.42,4.51689
13.43,4.521797
13.44,4.526703
13.45,4.531606
13.46,4.536508
13.47,4.541409
13.48,4.546307
13.49,4.551204
13.5,4.556099
13.51,4.560992
13.52,4.565884
13.53,4.570774
13.54,4.575662
13.55,4.580549
13.56,4.585434
13.57,4.590317
13.58,4.595199
13.59,4.600079
13.6,4.604957
13.61,4.609834
13.62,4.614709
13.63,4.619583
13.64,4.624455
13.65,4.629325
13.66,4.634193
13.67,4.63906
13.68,4.643926
13.69,4.648789
13.7,4.653651
13.71,4.658512
13.72,4.663371
13.73,4.668228
13.74,4.673084
13.75,4.677938
13.76,4.682791
13.77,4.687642
13.78,4.692492
13.79,4.69734
13.8,4.702186
13.81,4.707031
13.82,4.711874
13.83,4.716716
13.84,4.721556
13.85,4.726395
13.86,4.731232
13.87,4.736068
13.88,4.740902
13.89,4.745735
13.9,4.750566
13.91,4.755396
13.92,4.760224
13.93,4.76505
13.94,4.769876
13.95,4.774699
13.96,4.779522
13.97,4.784342
13.98,4.789162
13.99,4.793979
14,4.798796
14.01,4.803611
14.02,4.808424
14.03,4.813236
14.04,4.818047
14.05,4.822856
14.06,4.827664
14.07,4.83247
14.08,4.837275
14.09,4.842078
14.1,4.84688
14.11,4.851681
14.12,4.85648
14.13,4.861278
14.14,4.866074
14.15,4.870869
14.16,4.875663
14.17,4.880455
14.18,4.885246
14.19,4.890035
14.2,4.894823
14.21,4.89961
14.22,4.904395
14.23,4.909179
14.24,4.913962
14.25,4.918743
14.26,4.923523
14.27,4.928301
14.28,4.933078
14.29,4.937854
14.3,4.942629
14.31,4.947402
14.32,4.952174
14.33,4.956944
14.34,4.961714
14.35,4.966481
14.36,4.971248
14.37,4.976013
14.38,4.980777
14.39,4.98554
14.4,4.990301
14.41,4.995061
14.42,4.99982
14.43,5.004577
14.44,5.009334
14.45,5.014088
14.46,5.018842
14.47,5.023594
14.48,5.028345
14.49,5.033095
14.5,5.037844
14.51,5.042591
14.52,5.047337
14.53,5.052082
14.54,5.056825
14.55,5.061568
14.56,5.066309
14.57,5.071049
14.58,5.075787
14.59,5.080524
14.6,5.08526
14.61,5.089995
14.62,5.094729
14.63,5.099461
14.64,5.104193
14.65,5.108923
14.66,5.113651
14.67,5.118379
14.68,5.123105
14.69,5.127831
14.7,5.132555
14.71,5.137277
14.72,5.141999
14.73,5.146719
14.74,5.151439
14.75,5.156157
14.76,5.160874
14.77,5.165589
14.78,5.170304
14.79,5.175017
14.8,5.17973
14.81,5.184441
14.82,5.18915
14.83,5.193859
14.84,5.198567
14.85,5.203273
14.86,5.207979
14.87,5.212683
14.88,5.217386
14.89,5.222088
14.9,5.226788
14.91,5.231488
14.92,5.236187
14.93,5.240884
14.94,5.24558
14.95,5.250275
14.96,5.254969
14.97,5.259662
14.98,5.264354
14.99,5.269045
15,5.273734
15.01,5.278423
15.02,5.28311
15.03,5.287797
15.04,5.292482
15.05,5.297166
15.06,5.301849
15.07,5.306531
15.08,5.311212
15.09,5.315892
15.1,5.320571
15.11,5.325248
15.12,5.329925
15.13,5.3346
15.14,5.339275
15.15,5.343948
15.16,5.348621
15.17,5.353292
15.18,5.357962
15.19,5.362631
15.2,5.3673
15.21,5.371967
15.22,5.376633
15.23,5.381298
15.24,5.385962
15.25,5.390625
15.26,5.395287
15.27,5.399948
15.28,5.404608
15.29,5.409267
15.3,5.413924
15.31,5.418581
15.32,5.423237
15.33,5.427892
15.34,5.432546
15.35,5.437199
15.36,5.441851
15.37,5.446501
15.38,5.451151
15.39,5.4558
15.4,5.460448
15.41,5.465095
15.42,5.469741
15.43,5.474385
15.44,5.479029
15.45,5.483672
15.46,5.488314
15.47,5.492955
15.48,5.497595
15.49,5.502234
15.5,5.506872
15.51,5.511509
15.52,5.516145
15.53,5.520781
15.54,5.525415
15.55,5.530048
15.56,5.53468
15.57,5.539312
15.58,5.543942
15.59,5.548572
15.6,5.5532
15.61,5.557828
15.62,5.562454
15.63,5.56708
15.64,5.571705
15.65,5.576329
15.66,5.580952
15.67,5.585574
15.68,5.590195
15.69,5.594815
15.7,5.599434
15.71,5.604052
15.72,5.60867
15.73,5.613286
15.74,5.617902
15.75,5.622517
15.76,5.62713
15.77,5.631743
15.78,5.636355
15.79,5.640966
15.8,5.645576
15.81,5.650186
15.82,5.654794
15.83,5.659402
15.84,5.664008
15.85,5.668614
15.86,5.673219
15.87,5.677823
15.88,5.682426
15.89,5.687028
15.9,5.691629
15.91,5.69623
15.92,5.700829
15.93,5.705428
15.94,5.710026
15.95,5.714623
15.96,5.719219
15.97,5.723814
15.98,5.728409
15.99,5.733002
16,5.737595
16.01,5.742187
16.02,5.746778
16.03,5.751368
16.04,5.755958
16.05,5.760546
16.06,5.765134
16.07,5.769721
16.08,5.774306
16.09,5.778892
16.1,5.783476
16.11,5.788059
16.12,5.792642
16.13,5.797224
16.14,5.801805
16.15,5.806385
16.16,5.810965
16.17,5.815543
16.18,5.820121
16.19,5.824698
16.2,5.829274
16.21,5.833849
16.22,5.838424
16.23,5.842997
16.24,5.84757
16.25,5.852142
16.26,5.856714
16.27,5.861284
16.28,5.865854
16.29,5.870423
16.3,5.874991
16.31,5.879558
16.32,5.884125
16.33,5.888691
16.34,5.893255
16.35,5.89782
16.36,5.902383
16.37,5.906946
16.38,5.911508
16.39,5.916069
16.4,5.920629
16.41,5.925189
16.42,5.929747
16.43,5.934305
16.44,5.938863
16.45,5.943419
16.46,5.947975
16.47,5.95253
16.48,5.957084
16.49,5.961637
16.5,5.96619
16.51,5.970742
16.52,5.975293
16.53,5.979844
16.54,5.984393
16.55,5.988942
16.56,5.993491
16.57,5.998038
16.58,6.002585
16.59,6.007131
16.6,6.011676
16.61,6.016221
16.62,6.020764
16.63,6.025307
16.64,6.02985
16.65,6.034391
16.66,6.038932
16.67,6.043472
16.68,6.048012
16.69,6.052551
16.7,6.057089
16.71,6.061626
16.72,6.066162
16.73,6.070698
16.74,6.075233
16.75,6.079768
16.76,6.084302
16.77,6.088835
16.78,6.093367
16.79,6.097899
16.8,6.10243
16.81,6.10696
16.82,6.111489
16.83,6.116018
16.84,6.120546
16.85,6.125074
16.86,6.129601
16.87,6.134127
16.88,6.138652
16.89,6.143177
16.9,6.147701
16.91,6.152224
16.92,6.156747
16.93,6.161269
16.94,6.16579
16.95,6.170311
16.96,6.174831
16.97,6.17935
16.98,6.183868
16.99,6.188386
17,6.192904
17.01,6.19742
17.02,6.201936
17.03,6.206451
17.04,6.210966
17.05,6.21548
17.06,6.219993
17.07,6.224506
17.08,6.229018
17.09,6.233529
17.1,6.23804
17.11,6.24255
17.12,6.247059
17.13,6.251568
17.14,6.256076
17.15,6.260584
17.16,6.265091
17.17,6.269597
17.18,6.274102
17.19,6.278607
17.2,6.283111
17.21,6.287615
17.22,6.292118
17.23,6.29662
17.24,6.301122
17.25,6.305623
17.26,6.310124
17.27,6.314624
17.28,6.319123
17.29,6.323621
17.3,6.328119
17.31,6.332617
17.32,6.337114
17.33,6.34161
17.34,6.346105
17.35,6.3506
17.36,6.355094
17.37,6.359588
17.38,6.364081
17.39,6.368574
17.4,6.373066
17.41,6.377557
17.42,6.382048
17.43,6.386538
17.44,6.391027
17.45,6.395516
17.46,6.400004
17.47,6.404492
17.48,6.408979
17.49,6.413465
17.5,6.417951
17.51,6.422437
17.52,6.426921
17.53,6.431405
17.54,6.435889
17.55,6.440372
17.56,6.444854
17.57,6.449336
17.58,6.453817
17.59,6.458298
17.6,6.462778
17.61,6.467258
17.62,6.471737
17.63,6.476215
17.64,6.480693
17.65,6.48517
17.66,6.489647
17.67,6.494123
17.68,6.498598
17.69,6.503073
17.7,6.507547
17.71,6.512021
17.72,6.516495
17.73,6.520967
17.74,6.525439
17.75,6.529911
17.76,6.534382
17.77,6.538853
17.78,6.543322
17.79,6.547792
17.8,6.552261
17.81,6.556729
17.82,6.561197
17.83,6.565664
17.84,6.570131
17.85,6.574597
17.86,6.579062
17.87,6.583527
17.88,6.587992
17.89,6.592456
17.9,6.596919
17.91,6.601382
17.92,6.605844
17.93,6.610306
17.94,6.614768
17.95,6.619228
17.96,6.623689
17.97,6.628148
17.98,6.632607
17.99,6.637066
18,6.641524
18.01,6.645982
18.02,6.650439
18.03,6.654896
18.04,6.659352
18.05,6.663807
18.06,6.668262
18.07,6.672717
18.08,6.677171
18.09,6.681624
18.1,6.686077
18.11,6.69053
18.12,6.694982
18.13,6.699433
18.14,6.703884
18.15,6.708335
18.16,6.712785
18.17,6.717234
18.18,6.721683
18.19,6.726132
18.2,6.73058
18.21,6.735027
18.22,6.739474
18.23,6.743921
18.24,6.748367
18.25,6.752812
18.26,6.757257
18.27,6.761702
18.28,6.766146
18.29,6.770589
18.3,6.775033
18.31,6.779475
18.32,6.783917
18.33,6.788359
18.34,6.7928
18.35,6.797241
18.36,6.801681
18.37,6.806121
18.38,6.81056
18.39,6.814999
18.4,6.819437
18.41,6.823875
18.42,6.828312
18.43,6.832749
18.44,6.837186
18.45,6.841622
18.46,6.846057
18.47,6.850492
18.48,6.854927
18.49,6.859361
18.5,6.863795
18.51,6.868228
18.52,6.872661
18.53,6.877093
18.54,6.881525
18.55,6.885957
18.56,6.890388
18.57,6.894818
18.58,6.899248
18.59,6.903678
18.6,6.908107
18.61,6.912536
18.62,6.916964
18.63,6.921392
18.64,6.925819
18.65,6.930246
18.66,6.934673
18.67,6.939099
18.68,6.943524
18.69,6.94795
18.7,6.952374
18.71,6.956799
18.72,6.961223
18.73,6.965646
18.74,6.970069
18.75,6.974492
18.76,6.978914
18.77,6.983336
18.78,6.987757
18.79,6.992178
18.8,6.996599
18.81,7.001019
18.82,7.005438
18.83,7.009858
18.84,7.014276
18.85,7.018695
18.86,7.023113
18.87,7.02753
18.88,7.031947
18.89,7.036364
18.9,7.040781
18.91,7.045197
18.92,7.049612
18.93,7.054027
18.94,7.058442
18.95,7.062856
18.96,7.06727
18.97,7.071684
18.98,7.076097
18.99,7.080509
19,7.084922
19.01,7.089334
19.02,7.093745
19.03,7.098156
19.04,7.102567
19.05,7.106977
19.06,7.111387
19.07,7.115797
19.08,7.120206
19.09,7.124615
19.1,7.129023
19.11,7.133431
19.12,7.137838
19.13,7.142246
19.14,7.146653
19.15,7.151059
19.16,7.155465
19.17,7.159871
19.18,7.164276
19.19,7.168681
19.2,7.173086
19.21,7.17749
19.22,7.181894
19.23,7.186297
19.24,7.1907
19.25,7.195103
19.26,7.199505
19.27,7.203907
19.28,7.208309
19.29,7.21271
19.3,7.217111
19.31,7.221511
19.32,7.225911
19.33,7.230311
19.34,7.23471
19.35,7.239109
19.36,7.243508
19.37,7.247906
19.38,7.252304
19.39,7.256702
19.4,7.261099
19.41,7.265496
19.42,7.269893
19.43,7.274289
19.44,7.278685
19.45,7.28308
19.46,7.287476
19.47,7.29187
19.48,7.296265
19.49,7.300659
19.5,7.305053
19.51,7.309446
19.52,7.313839
19.53,7.318232
19.54,7.322625
19.55,7.327017
19.56,7.331408
19.57,7.3358
19.58,7.340191
19.59,7.344582
19.6,7.348972
19.61,7.353362
19.62,7.357752
19.63,7.362141
19.64,7.366531
19.65,7.370919
19.66,7.375308
19.67,7.379696
19.68,7.384084
19.69,7.388471
19.7,7.392859
19.71,7.397245
19.72,7.401632
19.73,7.406018
19.74,7.410404
19.75,7.41479
19.76,7.419175
19.77,7.42356
19.78,7.427945
19.79,7.432329
19.8,7.436713
19.81,7.441097
19.82,7.44548
19.83,7.449863
19.84,7.454246
19.85,7.458629
19.86,7.463011
19.87,7.467393
19.88,7.471774
19.89,7.476156
19.9,7.480537
19.91,7.484917
19.92,7.489298
19.93,7.493678
19.94,7.498058
19.95,7.502437
19.96,7.506816
19.97,7.511195
19.98,7.515574
19.99,7.519953
20,7.524331
20.01,7.528708
20.02,7.533086
20.03,7.537463
20.04,7.54184
20.05,7.546217
20.06,7.550593
20.07,7.554969
20.08,7.559345
20.09,7.563721
20.1,7.568096
20.11,7.572471
20.12,7.576846
20.13,7.58122
20.14,7.585594
20.15,7.589968
20.16,7.594342
20.17,7.598715
20.18,7.603089
20.19,7.607461
20.2,7.611834
20.21,7.616206
20.22,7.620578
20.23,7.62495
20.24,7.629322
20.25,7.633693
20.26,7.638064
20.27,7.642435
20.28,7.646805
20.29,7.651176
20.3,7.655546
20.31,7.659915
20.32,7.664285
20.33,7.668654
20.34,7.673023
20.35,7.677392
20.36,7.68176
20.37,7.686129
20.38,7.690497
20.39,7.694864
20.4,7.699232
20.41,7.703599
20.42,7.707966
20.43,7.712333
20.44,7.7167
20.45,7.721066
20.46,7.725432
20.47,7.729798
20.48,7.734164
20.49,7.738529
20.5,7.742894
20.51,7.747259
20.52,7.751624
20.53,7.755988
20.54,7.760353
20.55,7.764717
20.56,7.76908
20.57,7.773444
