wl,n
0.31873,3.29531
0.31955,3.29113
0.32037,3.28654
0.3212,3.28155
0.32204,3.27617
0.32288,3.27039
0.32372,3.26423
0.32457,3.25769
0.32542,3.25078
0.32627,3.24351
0.32714,3.23589
0.328,3.22792
0.32887,3.21962
0.32975,3.21099
0.33062,3.20205
0.33151,3.19281
0.3324,3.18328
0.33329,3.17347
0.33419,3.1634
0.33509,3.15308
0.336,3.14253
0.33691,3.13175
0.33783,3.12077
0.33875,3.10959
0.33968,3.09824
0.34062,3.08674
0.34155,3.07509
0.3425,3.06331
0.34345,3.05143
0.3444,3.03946
0.34536,3.02743
0.34632,3.01534
0.34729,3.00322
0.34827,2.99109
0.34925,2.97898
0.35024,2.9669
0.35123,2.95489
0.35223,2.94295
0.35323,2.93114
0.35424,2.91946
0.35526,2.90796
0.35628,2.89667
0.3573,2.88565
0.35834,2.87493
0.35937,2.86461
0.36042,2.85485
0.36147,2.84577
0.36253,2.83714
0.36359,2.82889
0.36466,2.82095
0.36574,2.81329
0.36682,2.80588
0.36791,2.7987
0.369,2.79174
0.3701,2.78497
0.37121,2.77838
0.37232,2.77197
0.37345,2.76571
0.37457,2.75961
0.37571,2.75366
0.37685,2.74784
0.378,2.74215
0.37916,2.73659
0.38032,2.73114
0.38149,2.72581
0.38267,2.72059
0.38385,2.71547
0.38504,2.71045
0.38624,2.70553
0.38745,2.7007
0.38867,2.69596
0.38989,2.69131
0.39112,2.68673
0.39236,2.68224
0.3936,2.67783
0.39485,2.67349
0.39612,2.66923
0.39739,2.66504
0.39866,2.66091
0.39995,2.65685
0.40124,2.65286
0.40255,2.64892
0.40386,2.64505
0.40518,2.64124
0.40651,2.63749
0.40784,2.63379
0.40919,2.63015
0.41054,2.62656
0.41191,2.62302
0.41328,2.61953
0.41466,2.61609
0.41605,2.6127
0.41746,2.60936
0.41887,2.60606
0.42029,2.60281
0.42171,2.5996
0.42315,2.59644
0.4246,2.59331
0.42606,2.59023
0.42753,2.58719
0.42901,2.58418
0.4305,2.58122
0.432,2.57829
0.43351,2.5754
0.43503,2.57255
0.43656,2.56973
0.43811,2.56694
0.43966,2.56419
0.44122,2.56147
0.4428,2.55879
0.44439,2.55614
0.44599,2.55352
0.4476,2.55093
0.44922,2.54837
0.45085,2.54584
0.4525,2.54333
0.45415,2.54086
0.45582,2.53842
0.45751,2.536
0.4592,2.53361
0.46091,2.53125
0.46263,2.52891
0.46436,2.5266
0.46611,2.52432
0.46786,2.52206
0.46964,2.51982
0.47142,2.51761
0.47322,2.51543
0.47504,2.51326
0.47686,2.51112
0.4787,2.509
0.48056,2.50691
0.48243,2.50483
0.48431,2.50278
0.48621,2.50075
0.48813,2.49874
0.49006,2.49675
0.492,2.49478
0.49396,2.49284
0.49594,2.49091
0.49793,2.489
0.49994,2.48711
0.50196,2.48524
0.504,2.48339
0.50606,2.48155
0.50813,2.47974
0.51022,2.47794
0.51233,2.47616
0.51446,2.4744
0.5166,2.47265
0.51876,2.47093
0.52094,2.46922
0.52314,2.46752
0.52536,2.46584
0.52759,2.46418
0.52985,2.46254
0.53212,2.4609
0.53441,2.45929
0.53673,2.45769
0.53906,2.45611
0.54142,2.45454
0.54379,2.45298
0.54619,2.45144
0.5486,2.44992
0.55104,2.44841
0.5535,2.44691
0.55598,2.44543
0.55849,2.44396
0.56101,2.4425
0.56356,2.44106
0.56614,2.43963
0.56873,2.43822
0.57136,2.43682
0.574,2.43543
0.57667,2.43405
0.57937,2.43269
0.58209,2.43133
0.58483,2.42999
0.5876,2.42867
0.5904,2.42735
0.59323,2.42605
0.59608,2.42476
0.59896,2.42348
0.60187,2.42221
0.6048,2.42095
0.60777,2.41971
0.61076,2.41847
0.61378,2.41725
0.61684,2.41604
0.61992,2.41484
0.62304,2.41365
0.62618,2.41247
0.62936,2.4113
0.63257,2.41014
0.63582,2.40899
0.63909,2.40785
0.64241,2.40672
0.64575,2.40561
0.64913,2.4045
0.65255,2.4034
0.656,2.40231
0.65949,2.40123
0.66302,2.40016
0.66658,2.3991
0.67018,2.39805
0.67383,2.39701
0.67751,2.39598
0.68123,2.39496
0.685,2.39395
0.6888,2.39294
0.69265,2.39195
0.69654,2.39096
0.70048,2.38998
0.70446,2.38901
0.70848,2.38805
0.71255,2.3871
0.71667,2.38616
0.72084,2.38522
0.72505,2.3843
0.72932,2.38338
0.73363,2.38247
0.738,2.38157
0.74242,2.38068
0.74689,2.37979
0.75142,2.37891
0.756,2.37804
0.76064,2.37718
0.76533,2.37633
0.77009,2.37548
0.7749,2.37464
0.77977,2.37381
0.78471,2.37299
0.78971,2.37217
0.79477,2.37136
0.7999,2.37056
0.80509,2.36977
0.81035,2.36898
0.81569,2.3682
0.82109,2.36743
0.82656,2.36667
