λ (nm),Ts
244.57999999999998,0.7673019999999999
244.64,0.767416
244.7,0.7675299999999999
244.76,0.767644
244.82,0.7677579999999999
244.88,0.767872
244.94,0.767986
245.0,0.7681
245.06,0.7682140000000001
245.12,0.768328
245.18,0.7684420000000001
245.24,0.768556
245.3,0.7686700000000001
245.36,0.768784
245.42000000000002,0.7688980000000001
245.48,0.769012
245.54,0.769126
245.6,0.76924
245.66,0.769354
245.72,0.769468
245.78,0.769582
245.84,0.769696
245.9,0.76981
245.96,0.769924
246.01999999999998,0.770038
246.07999999999998,0.770152
246.14,0.770266
246.2,0.77038
246.26,0.770494
246.32,0.770608
246.38,0.770722
246.44,0.770836
246.5,0.77095
246.56,0.7710640000000001
246.62,0.771178
246.68,0.7712920000000001
246.74,0.771406
246.8,0.7715200000000001
246.86,0.771634
246.92000000000002,0.7717480000000001
246.98,0.771862
247.04,0.771972
247.1,0.77208
247.16,0.772188
247.22,0.772296
247.28,0.7724040000000001
247.34,0.7725120000000001
247.4,0.7726200000000001
247.46,0.7727280000000001
247.51999999999998,0.772836
247.57999999999998,0.772944
247.64,0.7730520000000001
247.7,0.7731600000000001
247.76,0.7732680000000001
247.82,0.7733760000000001
247.88,0.7734840000000001
247.94,0.7735920000000001
248.0,0.7737
248.06,0.773808
248.12,0.773916
248.18,0.774024
248.24,0.774132
248.3,0.77424
248.36,0.774348
248.42000000000002,0.774456
248.48,0.774564
248.54,0.774672
248.6,0.77478
248.66,0.774888
248.72,0.774996
248.78,0.775104
248.84,0.775212
248.9,0.77532
248.96,0.775428
249.01999999999998,0.775534
249.07999999999998,0.775636
249.14,0.7757379999999999
249.2,0.77584
249.26,0.7759419999999999
249.32,0.776044
249.38,0.776146
249.44,0.7762479999999999
249.5,0.77635
249.56,0.776452
249.62,0.776554
249.68,0.776656
249.74,0.7767580000000001
249.8,0.77686
249.86,0.776962
249.92000000000002,0.777064
249.98,0.777166
250.04,0.777268
250.1,0.77737
250.16,0.777472
