wl,k
0.44599,0
0.4476,0
0.44922,0
0.45085,0
0.4525,0
0.45415,0
0.45582,0
0.45751,0
0.4592,0
0.46091,0
0.46263,0
0.46436,0
0.46611,0
0.46786,0
0.46964,0
0.47142,0
0.47322,0
0.47504,0
0.47686,0
0.4787,0
0.48056,0
0.48243,0
0.48431,0
0.48621,0
0.48813,0
0.49006,0
0.492,0
0.49396,0
0.49594,0
0.49793,0
0.49994,0
0.50196,0
0.504,0
0.50606,0
0.50813,0
0.51022,0
0.51233,0
0.51446,0
0.5166,0
0.51876,0
0.52094,0
0.52314,0
0.52536,0
0.52759,0
0.52985,0
0.53212,0
0.53441,0
0.53673,0
0.53906,0
0.54142,0
0.54379,0
0.54619,0
0.5486,0
0.55104,0
0.5535,0
0.55598,0
0.55849,0
0.56101,0
0.56356,0
0.56614,0
0.56873,0
0.57136,0
0.574,0
0.57667,0
0.57937,0
0.58209,0
0.58483,0
0.5876,0
0.5904,0
0.59323,0
0.59608,0
0.59896,0
0.60187,0
0.6048,0
0.60777,0
0.61076,0
0.61378,0
0.61684,0
0.61992,0
0.62304,0
0.62618,0
0.62936,0
0.63257,0
0.63582,0
0.63909,0
0.64241,0
0.64575,0
0.64913,0
0.65255,0
0.656,0
0.65949,0
0.66302,0
0.66658,0
0.67018,0
0.67383,0
0.67751,0
0.68123,0
0.685,0
0.6888,0
0.69265,0
0.69654,0
0.70048,0
0.70446,0
0.70848,0
0.71255,0
0.71667,0
0.72084,0
0.72505,0
0.72932,0
0.73363,0
0.738,0
0.74242,0
0.74689,0
0.75142,0
0.756,0
0.76064,0
0.76533,0
0.77009,0
0.7749,0
0.77977,0
0.78471,0
0.78971,0
0.79477,0
0.7999,0
0.80509,0
0.81035,0
0.81569,0
0.82109,0
0.82656,0
