"Sapphire - ThorLabs"
"Wavelength µm.","T%"
0.50,84.84
0.50,84.84
0.50,84.85
0.50,84.85
0.50,84.86
0.50,84.86
0.50,84.87
0.51,84.87
0.51,84.88
0.51,84.88
0.51,84.89
0.51,84.89
0.51,84.90
0.51,84.90
0.51,84.91
0.51,84.91
0.51,84.92
0.52,84.93
0.52,84.93
0.52,84.94
0.52,84.94
0.52,84.95
0.52,84.95
0.52,84.96
0.52,84.97
0.52,84.97
0.52,84.98
0.53,84.98
0.53,84.99
0.53,84.99
0.53,85.00
0.53,85.00
0.53,85.01
0.53,85.01
0.53,85.02
0.53,85.03
0.53,85.03
0.54,85.04
0.54,85.04
0.54,85.04
0.54,85.05
0.54,85.06
0.54,85.06
0.54,85.06
0.54,85.07
0.54,85.07
0.54,85.08
0.55,85.08
0.55,85.09
0.55,85.09
0.55,85.09
0.55,85.10
0.55,85.10
0.55,85.10
0.55,85.11
0.55,85.12
0.55,85.12
0.56,85.12
0.56,85.12
0.56,85.13
0.56,85.13
0.56,85.14
0.56,85.14
0.56,85.14
0.56,85.14
0.56,85.15
0.56,85.15
0.57,85.16
0.57,85.16
0.57,85.16
0.57,85.17
0.57,85.17
0.57,85.17
0.57,85.18
0.57,85.18
0.57,85.18
0.57,85.19
0.58,85.19
0.58,85.19
0.58,85.20
0.58,85.20
0.58,85.20
0.58,85.21
0.58,85.21
0.58,85.22
0.58,85.22
0.58,85.22
0.59,85.23
0.59,85.23
0.59,85.23
0.59,85.24
0.59,85.24
0.59,85.24
0.59,85.24
0.59,85.25
0.59,85.25
0.59,85.25
0.60,85.26
0.60,85.26
0.60,85.26
0.60,85.27
0.60,85.27
0.60,85.27
0.60,85.28
0.60,85.28
0.60,85.28
0.60,85.28
0.61,85.28
0.61,85.29
0.61,85.29
0.61,85.29
0.61,85.30
0.61,85.30
0.61,85.30
0.61,85.31
0.61,85.31
0.61,85.31
0.62,85.31
0.62,85.32
0.62,85.32
0.62,85.32
0.62,85.32
0.62,85.33
0.62,85.33
0.62,85.33
0.62,85.33
0.62,85.34
0.63,85.34
0.63,85.34
0.63,85.35
0.63,85.35
0.63,85.35
0.63,85.36
0.63,85.36
0.63,85.36
0.63,85.37
0.63,85.37
0.64,85.37
0.64,85.37
0.64,85.38
0.64,85.38
0.64,85.38
0.64,85.39
0.64,85.39
0.64,85.39
0.64,85.39
0.64,85.40
0.65,85.40
0.65,85.40
0.65,85.40
0.65,85.41
0.65,85.41
0.65,85.41
0.65,85.42
0.65,85.42
0.65,85.42
0.65,85.43
0.66,85.43
0.66,85.43
0.66,85.43
0.66,85.44
0.66,85.44
0.66,85.44
0.66,85.45
0.66,85.45
0.66,85.45
0.66,85.45
0.67,85.46
0.67,85.46
0.67,85.46
0.67,85.46
0.67,85.47
0.67,85.47
0.67,85.47
0.67,85.47
0.67,85.48
0.67,85.48
0.68,85.48
0.68,85.49
0.68,85.49
0.68,85.49
0.68,85.49
0.68,85.49
0.68,85.50
0.68,85.50
0.68,85.50
0.68,85.50
0.69,85.50
0.69,85.51
0.69,85.51
0.69,85.51
0.69,85.51
0.69,85.51
0.69,85.52
0.69,85.52
0.69,85.52
0.69,85.53
0.70,85.53
0.70,85.53
0.70,85.53
0.70,85.53
0.70,85.54
0.70,85.54
0.70,85.54
0.70,85.54
0.70,85.54
0.70,85.55
0.71,85.55
0.71,85.55
0.71,85.55
0.71,85.55
0.71,85.56
0.71,85.56
0.71,85.56
0.71,85.56
0.71,85.57
0.71,85.57
0.72,85.57
0.72,85.57
0.72,85.57
0.72,85.58
0.72,85.58
0.72,85.58
0.72,85.58
0.72,85.58
0.72,85.58
0.72,85.59
0.73,85.59
0.73,85.59
0.73,85.60
0.73,85.59
0.73,85.60
0.73,85.60
0.73,85.60
0.73,85.61
0.73,85.61
0.73,85.61
0.74,85.61
0.74,85.61
0.74,85.61
0.74,85.62
0.74,85.62
0.74,85.62
0.74,85.62
0.74,85.62
0.74,85.62
0.74,85.63
0.75,85.63
0.75,85.63
0.75,85.63
0.75,85.63
0.75,85.63
0.75,85.64
0.75,85.64
0.75,85.64
0.75,85.64
0.75,85.64
0.76,85.64
0.76,85.64
0.76,85.65
0.76,85.65
0.76,85.65
0.76,85.65
0.76,85.65
0.76,85.66
0.76,85.66
0.76,85.66
0.77,85.66
0.77,85.66
0.77,85.67
0.77,85.67
0.77,85.67
0.77,85.67
0.77,85.67
0.77,85.67
0.77,85.68
0.77,85.68
0.78,85.69
0.78,85.69
0.78,85.69
0.78,85.69
0.78,85.69
0.78,85.69
0.78,85.69
0.78,85.70
0.78,85.70
0.78,85.70
0.79,85.70
0.79,85.70
0.79,85.70
0.79,85.71
0.79,85.71
0.79,85.71
0.79,85.72
0.79,85.71
0.79,85.71
0.79,85.71
0.80,85.72
0.80,85.73
0.80,85.73
0.80,85.73
0.80,85.73
0.80,85.73
0.80,85.73
0.80,85.73
0.80,85.74
0.80,85.75
0.81,85.75
0.81,85.75
0.81,85.75
0.81,85.75
0.81,85.75
0.81,85.76
0.81,85.76
0.81,85.77
0.81,85.77
0.81,85.77
0.82,85.77
0.82,85.77
0.82,85.77
0.82,85.77
0.82,85.78
0.82,85.78
0.82,85.79
0.82,85.79
0.82,85.79
0.82,85.79
0.83,85.79
0.83,85.79
0.83,85.79
0.83,85.79
0.83,85.79
0.83,85.80
0.83,85.80
0.83,85.80
0.83,85.80
0.83,85.79
0.84,85.79
0.84,85.79
0.84,85.79
0.84,85.79
0.84,85.80
0.84,85.81
0.84,85.82
0.84,85.83
0.84,85.84
0.84,85.84
0.85,85.85
0.85,85.86
0.85,85.86
0.85,85.87
0.85,85.88
0.85,85.89
0.85,85.90
0.85,85.91
0.85,85.91
0.85,85.92
0.86,85.93
0.86,85.94
0.86,85.95
0.86,85.96
0.86,85.97
0.86,85.97
0.86,85.98
0.86,85.98
0.86,85.99
0.86,86.00
0.87,86.01
0.87,86.02
0.87,86.03
0.87,86.04
0.87,86.05
0.87,86.05
0.87,86.06
0.87,86.07
0.87,86.08
0.87,86.09
0.88,86.11
0.88,86.12
0.88,86.13
0.88,86.13
0.88,86.14
0.88,86.15
0.88,86.15
0.88,86.15
0.88,86.15
0.88,86.15
0.89,86.15
0.89,86.15
0.89,86.15
0.89,86.15
0.89,86.15
0.89,86.16
0.89,86.16
0.89,86.16
0.89,86.16
0.89,86.16
0.90,86.16
0.90,86.16
0.90,86.16
0.90,86.17
0.90,86.17
0.90,86.17
0.90,86.17
0.90,86.17
0.90,86.17
0.90,86.17
